Name,protocol,sndbuf-size,max-buffers,max-epoch-size,disk-barrier,disk-flushes,al-extents
disk-throughput-tuning-protocol-A,A,Default(128K),Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-A-sndbuf-2k,A,2K,Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-A-sndbuf-2M,A,2M,Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-B,B,Default(128K),Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-B-sndbuf-2k,B,2K,Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-B-sndbuf-2m,B,2M,Default(2048),Default(2048),no,no,6007
disk-throughput-tuning-protocol-C,C,Default(128K),Default(2048),Default(2048),no,no,6007
protocol-A,A,Default(128K),Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-A-sndbuf-2k,A,2K,Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-A-sndbuf-2M,A,2M,Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-B,B,Default(128K),Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-B-sndbuf-2k,B,2K,Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-B-sndbuf-2m,B,2M,Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
protocol-C,C,Default(128K),Default(2048),Default(2048),Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-A,A,Default(128K),10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-A-sndbuf-2k,A,2K,10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-A-sndbuf-2M,A,2M,10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-B,B,Default(128K),10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-B-sndbuf-2k,B,2K,10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-B-sndbuf-2m,B,2M,10000,10000,Default(Disabled),Default(enabled),Default(1237)
write-tuning-protocol-C,C,Default(128K),10000,10000,Default(Disabled),Default(enabled),Default(1237)
